run_id,scenario,class_label,impairment_level,tx_success,rx_success,seed,duration_s,warmup_s,analysis_s,source_csc,output_log
Clean_seed1001_600s,Clean,normal,clean,1.0,1.0,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1001.log
Clean_seed1002_600s,Clean,normal,clean,1.0,1.0,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1002.log
Clean_seed1003_600s,Clean,normal,clean,1.0,1.0,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1003.log
Clean_seed1004_600s,Clean,normal,clean,1.0,1.0,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1004.log
Clean_seed1005_600s,Clean,normal,clean,1.0,1.0,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1005.log
Clean_seed1006_600s,Clean,normal,clean,1.0,1.0,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1006.log
Clean_seed1007_600s,Clean,normal,clean,1.0,1.0,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1007.log
Clean_seed1008_600s,Clean,normal,clean,1.0,1.0,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1008.log
Clean_seed1009_600s,Clean,normal,clean,1.0,1.0,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1009.log
Clean_seed1010_600s,Clean,normal,clean,1.0,1.0,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1010.log
RX90_seed1001_600s,RX90,impairment,light,1.0,0.9,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1001.log
RX90_seed1002_600s,RX90,impairment,light,1.0,0.9,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1002.log
RX90_seed1003_600s,RX90,impairment,light,1.0,0.9,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1003.log
RX90_seed1004_600s,RX90,impairment,light,1.0,0.9,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1004.log
RX90_seed1005_600s,RX90,impairment,light,1.0,0.9,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1005.log
RX90_seed1006_600s,RX90,impairment,light,1.0,0.9,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1006.log
RX90_seed1007_600s,RX90,impairment,light,1.0,0.9,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1007.log
RX90_seed1008_600s,RX90,impairment,light,1.0,0.9,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1008.log
RX90_seed1009_600s,RX90,impairment,light,1.0,0.9,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1009.log
RX90_seed1010_600s,RX90,impairment,light,1.0,0.9,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1010.log
RX75_seed1001_600s,RX75,impairment,moderate,1.0,0.75,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1001.log
RX75_seed1002_600s,RX75,impairment,moderate,1.0,0.75,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1002.log
RX75_seed1003_600s,RX75,impairment,moderate,1.0,0.75,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1003.log
RX75_seed1004_600s,RX75,impairment,moderate,1.0,0.75,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1004.log
RX75_seed1005_600s,RX75,impairment,moderate,1.0,0.75,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1005.log
RX75_seed1006_600s,RX75,impairment,moderate,1.0,0.75,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1006.log
RX75_seed1007_600s,RX75,impairment,moderate,1.0,0.75,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1007.log
RX75_seed1008_600s,RX75,impairment,moderate,1.0,0.75,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1008.log
RX75_seed1009_600s,RX75,impairment,moderate,1.0,0.75,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1009.log
