run_id,scenario,seed,cause_family,attack_subtype,impairment_level,metadata_valid,boot_count,final_metric_count,complete_marker,test_ok,sha256_matches_metadata,random_seed_matches,log_sha256,wall_elapsed_s
Clean_seed1001_600s,Clean,1001,normal,,Clean,True,16,16,True,True,True,True,53180e35073a13cf264d57c74bda16e8b8598fa07d949ebf471d719fc618a0c5,7.419
Clean_seed1002_600s,Clean,1002,normal,,Clean,True,16,16,True,True,True,True,6950f3de031fc594c771300246d4bd3181f6684cceb70808f1d1d73d3f18c478,7.552
Clean_seed1003_600s,Clean,1003,normal,,Clean,True,16,16,True,True,True,True,947d9a70bda6fe62b1c01f4fb282e2ff5d653474f1d8ebc635ff5e7596634009,7.427
Clean_seed1004_600s,Clean,1004,normal,,Clean,True,16,16,True,True,True,True,4e883defeabb9ed33bd72ac1693d8bf3c255ef20fac70fd20afa0321d59c16da,7.466
Clean_seed1005_600s,Clean,1005,normal,,Clean,True,16,16,True,True,True,True,7e8953ca629bc88d831dffd28d862fad506b6840defa18a4650a2b52d6c8e108,7.3
Clean_seed1006_600s,Clean,1006,normal,,Clean,True,16,16,True,True,True,True,c5f325ce6d5e75bae91447f97855946541b5db53c8de15b7f3ad5123024bc63c,7.709
Clean_seed1007_600s,Clean,1007,normal,,Clean,True,16,16,True,True,True,True,23466ed83e40490a4de5c44bf40dbc6388901da3ed28efd37d239fb86b2c47b2,7.445
Clean_seed1008_600s,Clean,1008,normal,,Clean,True,16,16,True,True,True,True,8418e22b41e03335b884f5a9e90e3f09eb23f32b1eefba618e5a6f35f8e4d66e,7.181
Clean_seed1009_600s,Clean,1009,normal,,Clean,True,16,16,True,True,True,True,8c9a96231787064eb8ab830e35b9add493ac558c4fd51479857db6702b3c5a89,7.249
Clean_seed1010_600s,Clean,1010,normal,,Clean,True,16,16,True,True,True,True,a6c34667a23d0a24715e9c27f1c5f45e94981b3e3b0958784d2857a68ce1581a,7.369
DIO_Flood_seed1001_600s,DIO_Flood,1001,attack,DIO_Flood,,True,16,16,True,True,True,True,15a789294d6521db0c96f3aba3351393a1d792f29404078a05383049757f6699,7.462
DIO_Flood_seed1002_600s,DIO_Flood,1002,attack,DIO_Flood,,True,16,16,True,True,True,True,8b54aa9f044c5e9dbcec4ae9f58ab2c9e4ee329cd033d4aa200b7f6dad2bff5a,7.689
DIO_Flood_seed1003_600s,DIO_Flood,1003,attack,DIO_Flood,,True,16,16,True,True,True,True,affb3a255beb4f86f15d1031b5e5968b7c9b9637843444dfd386d6e50cf17537,7.58
DIO_Flood_seed1004_600s,DIO_Flood,1004,attack,DIO_Flood,,True,16,16,True,True,True,True,ef2dd4d2479fa4365ff52ea6291077d944af208c51fefff6177522c756ada4c4,7.701
