scenario,seed,run_id,threshold,consecutive_windows,detected,detection_window_start_s,detection_available_s,latency_s,pre_attack_false_positive_windows,pre_attack_window_count,active_positive_window_fraction,active_mean_attack_probability,detected_by_10s,detected_by_20s,detected_by_30s,detected_by_60s
DIO_Flood,1001,DIO_Flood_seed1001_600s,0.5,1,1,180,190,10,0,6,1.0,0.9756666666666666,1,1,1,1
DIO_Flood,1002,DIO_Flood_seed1002_600s,0.5,1,1,190,200,20,0,6,0.9722222222222222,0.9473333333333334,0,1,1,1
DIO_Flood,1003,DIO_Flood_seed1003_600s,0.5,1,1,180,190,10,0,6,1.0,0.9716666666666663,1,1,1,1
DIO_Flood,1004,DIO_Flood_seed1004_600s,0.5,1,1,180,190,10,0,6,1.0,0.9600873015873014,1,1,1,1
DIO_Flood,1005,DIO_Flood_seed1005_600s,0.5,1,1,180,190,10,0,6,1.0,0.9386111111111111,1,1,1,1
DIO_Flood,1006,DIO_Flood_seed1006_600s,0.5,1,1,180,190,10,0,6,1.0,0.9495726495726495,1,1,1,1
DIO_Flood,1007,DIO_Flood_seed1007_600s,0.5,1,1,180,190,10,0,6,1.0,0.916611111111111,1,1,1,1
DIO_Flood,1008,DIO_Flood_seed1008_600s,0.5,1,1,180,190,10,0,6,1.0,0.9181111111111111,1,1,1,1
DIO_Flood,1009,DIO_Flood_seed1009_600s,0.5,1,1,180,190,10,0,6,1.0,0.9871666666666667,1,1,1,1
DIO_Flood,1010,DIO_Flood_seed1010_600s,0.5,1,1,180,190,10,0,6,1.0,0.9444444444444444,1,1,1,1
DIS_Flood,1001,DIS_Flood_seed1001_600s,0.5,1,1,180,190,10,0,6,1.0,0.9952777777777777,1,1,1,1
DIS_Flood,1002,DIS_Flood_seed1002_600s,0.5,1,1,180,190,10,0,6,1.0,0.9933888888888889,1,1,1,1
DIS_Flood,1003,DIS_Flood_seed1003_600s,0.5,1,1,180,190,10,0,6,1.0,0.984388888888889,1,1,1,1
DIS_Flood,1004,DIS_Flood_seed1004_600s,0.5,1,1,180,190,10,0,6,1.0,0.9902619047619048,1,1,1,1
DIS_Flood,1005,DIS_Flood_seed1005_600s,0.5,1,1,180,190,10,0,6,1.0,0.9802222222222221,1,1,1,1
DIS_Flood,1006,DIS_Flood_seed1006_600s,0.5,1,1,180,190,10,0,6,1.0,0.9957222222222222,1,1,1,1
DIS_Flood,1007,DIS_Flood_seed1007_600s,0.5,1,1,180,190,10,0,6,1.0,0.9941111111111111,1,1,1,1
DIS_Flood,1008,DIS_Flood_seed1008_600s,0.5,1,1,180,190,10,0,6,1.0,0.9841111111111113,1,1,1,1
DIS_Flood,1009,DIS_Flood_seed1009_600s,0.5,1,1,180,190,10,0,6,1.0,0.996388888888889,1,1,1,1
DIS_Flood,1010,DIS_Flood_seed1010_600s,0.5,1,1,180,190,10,0,6,1.0,0.989611111111111,1,1,1,1
UDP_Flood,1001,UDP_Flood_seed1001_600s,0.5,1,1,180,190,10,0,6,1.0,0.9998888888888889,1,1,1,1
UDP_Flood,1002,UDP_Flood_seed1002_600s,0.5,1,1,180,190,10,0,6,1.0,0.9996666666666667,1,1,1,1
UDP_Flood,1003,UDP_Flood_seed1003_600s,0.5,1,1,180,190,10,0,6,1.0,0.9988888888888889,1,1,1,1
UDP_Flood,1004,UDP_Flood_seed1004_600s,0.5,1,1,180,190,10,0,6,1.0,0.9997222222222223,1,1,1,1
UDP_Flood,1005,UDP_Flood_seed1005_600s,0.5,1,1,180,190,10,0,6,1.0,0.9986666666666666,1,1,1,1
UDP_Flood,1006,UDP_Flood_seed1006_600s,0.5,1,1,180,190,10,0,6,1.0,0.9996666666666667,1,1,1,1
UDP_Flood,1007,UDP_Flood_seed1007_600s,0.5,1,1,180,190,10,0,6,1.0,0.9998888888888889,1,1,1,1
UDP_Flood,1008,UDP_Flood_seed1008_600s,0.5,1,1,180,190,10,0,6,1.0,0.9993333333333335,1,1,1,1
UDP_Flood,1009,UDP_Flood_seed1009_600s,0.5,1,1,180,190,10,0,6,1.0,0.9993333333333333,1,1,1,1
UDP_Flood,1010,UDP_Flood_seed1010_600s,0.5,1,1,180,190,10,0,6,1.0,1.0,1,1,1,1
