scenario,seed,run_id,true_subtype,threshold,consecutive_windows,detected,detection_window_start_s,detection_available_s,latency_s,active_correct_subtype_fraction
DIO_Flood,1001,DIO_Flood_seed1001_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIO_Flood,1002,DIO_Flood_seed1002_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIO_Flood,1003,DIO_Flood_seed1003_600s,dio_flood,0.7,2,1,180,200,20,0.9444444444444444
DIO_Flood,1004,DIO_Flood_seed1004_600s,dio_flood,0.7,2,1,180,200,20,0.9722222222222222
DIO_Flood,1005,DIO_Flood_seed1005_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIO_Flood,1006,DIO_Flood_seed1006_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIO_Flood,1007,DIO_Flood_seed1007_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIO_Flood,1008,DIO_Flood_seed1008_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIO_Flood,1009,DIO_Flood_seed1009_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIO_Flood,1010,DIO_Flood_seed1010_600s,dio_flood,0.7,2,1,180,200,20,1.0
DIS_Flood,1001,DIS_Flood_seed1001_600s,dis_flood,0.7,2,1,180,200,20,1.0
DIS_Flood,1002,DIS_Flood_seed1002_600s,dis_flood,0.7,2,1,180,200,20,1.0
DIS_Flood,1003,DIS_Flood_seed1003_600s,dis_flood,0.7,2,1,180,200,20,1.0
DIS_Flood,1004,DIS_Flood_seed1004_600s,dis_flood,0.7,2,1,180,200,20,0.9722222222222222
DIS_Flood,1005,DIS_Flood_seed1005_600s,dis_flood,0.7,2,1,180,200,20,1.0
DIS_Flood,1006,DIS_Flood_seed1006_600s,dis_flood,0.7,2,1,180,200,20,1.0
DIS_Flood,1007,DIS_Flood_seed1007_600s,dis_flood,0.7,2,1,190,210,30,1.0
DIS_Flood,1008,DIS_Flood_seed1008_600s,dis_flood,0.7,2,1,180,200,20,0.9722222222222222
DIS_Flood,1009,DIS_Flood_seed1009_600s,dis_flood,0.7,2,1,180,200,20,0.9722222222222222
DIS_Flood,1010,DIS_Flood_seed1010_600s,dis_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1001,UDP_Flood_seed1001_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1002,UDP_Flood_seed1002_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1003,UDP_Flood_seed1003_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1004,UDP_Flood_seed1004_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1005,UDP_Flood_seed1005_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1006,UDP_Flood_seed1006_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1007,UDP_Flood_seed1007_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1008,UDP_Flood_seed1008_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1009,UDP_Flood_seed1009_600s,udp_flood,0.7,2,1,180,200,20,1.0
UDP_Flood,1010,UDP_Flood_seed1010_600s,udp_flood,0.7,2,1,180,200,20,1.0
