scenario,seed,run_id,window_count,false_positive_windows,false_positive_rate,mean_attack_probability,max_attack_probability
Clean,1001,Clean_seed1001_600s,36,0,0.0,0.032478632478632474,0.154
Clean,1002,Clean_seed1002_600s,36,0,0.0,0.023666666666666666,0.118
Clean,1003,Clean_seed1003_600s,36,0,0.0,0.03194444444444445,0.22
Clean,1004,Clean_seed1004_600s,36,0,0.0,0.05106349206349206,0.248
Clean,1005,Clean_seed1005_600s,36,0,0.0,0.02622222222222222,0.104
Clean,1006,Clean_seed1006_600s,36,0,0.0,0.02285042735042735,0.178
Clean,1007,Clean_seed1007_600s,36,0,0.0,0.018944444444444444,0.118
Clean,1008,Clean_seed1008_600s,36,0,0.0,0.02822222222222222,0.19
Clean,1009,Clean_seed1009_600s,36,0,0.0,0.026365079365079362,0.106
Clean,1010,Clean_seed1010_600s,36,0,0.0,0.027777777777777776,0.222
RX60,1001,RX60_seed1001_600s,36,0,0.0,0.0005,0.008
RX60,1002,RX60_seed1002_600s,36,0,0.0,0.0026666666666666666,0.054
RX60,1003,RX60_seed1003_600s,36,0,0.0,0.00011111111111111112,0.004
RX60,1004,RX60_seed1004_600s,36,0,0.0,0.00044444444444444447,0.008
RX60,1005,RX60_seed1005_600s,36,0,0.0,0.0,0.0
RX60,1006,RX60_seed1006_600s,36,0,0.0,0.002388888888888889,0.05
RX60,1007,RX60_seed1007_600s,36,0,0.0,0.0,0.0
RX60,1008,RX60_seed1008_600s,36,0,0.0,0.002777777777777778,0.07
RX60,1009,RX60_seed1009_600s,36,0,0.0,0.0,0.0
RX60,1010,RX60_seed1010_600s,36,0,0.0,0.0003333333333333333,0.006
RX75,1001,RX75_seed1001_600s,36,0,0.0,0.002277777777777778,0.03
RX75,1002,RX75_seed1002_600s,36,0,0.0,0.0007222222222222223,0.02
RX75,1003,RX75_seed1003_600s,36,0,0.0,0.0007777777777777778,0.01
RX75,1004,RX75_seed1004_600s,36,0,0.0,0.0008333333333333334,0.012
RX75,1005,RX75_seed1005_600s,36,0,0.0,0.00538888888888889,0.066
RX75,1006,RX75_seed1006_600s,36,0,0.0,0.004333333333333334,0.076
RX75,1007,RX75_seed1007_600s,36,0,0.0,0.00011111111111111112,0.002
RX75,1008,RX75_seed1008_600s,36,0,0.0,0.0002777777777777778,0.006
RX75,1009,RX75_seed1009_600s,36,0,0.0,0.001,0.028
RX75,1010,RX75_seed1010_600s,36,0,0.0,0.004722222222222222,0.046
RX90,1001,RX90_seed1001_600s,36,0,0.0,0.015905982905982906,0.242
RX90,1002,RX90_seed1002_600s,36,0,0.0,0.01583333333333333,0.112
RX90,1003,RX90_seed1003_600s,36,0,0.0,0.015000000000000001,0.106
RX90,1004,RX90_seed1004_600s,36,0,0.0,0.02316666666666667,0.14
RX90,1005,RX90_seed1005_600s,36,0,0.0,0.025555555555555557,0.246
RX90,1006,RX90_seed1006_600s,36,0,0.0,0.013888888888888892,0.078
RX90,1007,RX90_seed1007_600s,36,0,0.0,0.010833333333333335,0.108
RX90,1008,RX90_seed1008_600s,36,0,0.0,0.013111111111111112,0.082
RX90,1009,RX90_seed1009_600s,36,0,0.0,0.023777777777777776,0.248
RX90,1010,RX90_seed1010_600s,36,0,0.0,0.024000000000000004,0.15
