task,feature_set,model,feature,mean_abs_shap,sd_abs_shap,min_abs_shap,max_abs_shap,folds,explained_samples
attack_subtype,mac,extra_trees,root_mac_rx_delta,0.20573606384945847,0.005968891040956822,0.19649170853544112,0.21301392334201583,5,1000
attack_subtype,mac,extra_trees,client_mac_acked_delta,0.08846036224455607,0.0014319922086609776,0.08713204976491508,0.0905884876534446,5,1000
attack_subtype,mac,extra_trees,client_mac_tx_attempts_delta,0.0805640250957069,0.002283288574591955,0.07821555409317323,0.08396297052441958,5,1000
attack_subtype,mac,extra_trees,client_mac_rx_delta,0.0761124441705703,0.003898933350956356,0.07194968377336747,0.08219953207589108,5,1000
attack_subtype,mac,extra_trees,root_mac_acked_delta,0.008049664933966574,0.0006570480567800468,0.00724986172809575,0.0086780069766333,5,1000
attack_subtype,mac,extra_trees,root_mac_tx_attempts_delta,0.007834982861597485,0.0009491277040638931,0.006695446513087934,0.009146432930435301,5,1000
attack_subtype,mac,extra_trees,client_mac_ack_ratio,0.003479633865652696,0.0006353821908065752,0.002716677462775344,0.004101058189090057,5,1000
attack_subtype,mac,extra_trees,root_mac_ack_ratio,0.0034448616986483297,0.0004189870055778712,0.0029694737877623127,0.004019747314612256,5,1000
attack_subtype,mac,extra_trees,queue_drops_delta,0.0005773027150451345,0.0002572426785421866,0.00025432590890596673,0.0009735382034976079,5,1000
attack_subtype,mac,extra_trees,client_mac_reset_nodes,0.0,0.0,0.0,0.0,5,1000
attack_subtype,mac,extra_trees,client_mac_valid_nodes,0.0,0.0,0.0,0.0,5,1000
binary_attack,mac,extra_trees,client_mac_rx_delta,0.26053289168398114,0.007414440560668807,0.2508329124360911,0.2701088659506187,5,1000
binary_attack,mac,extra_trees,root_mac_rx_delta,0.1092517530430607,0.0029306324882308033,0.10625058881532702,0.11310142413009086,5,1000
binary_attack,mac,extra_trees,client_mac_ack_ratio,0.05972922323438233,0.002253610646009208,0.05690280906291289,0.0626028665482523,5,1000
binary_attack,mac,extra_trees,client_mac_acked_delta,0.05790575091562453,0.002413349769578266,0.05512020632592612,0.06014404599853755,5,1000
binary_attack,mac,extra_trees,root_mac_ack_ratio,0.044354372058324654,0.002566298955854507,0.03997125513130285,0.046745540677879074,5,1000
binary_attack,mac,extra_trees,client_mac_tx_attempts_delta,0.03580511871091055,0.002594671043923045,0.03255082900324024,0.039489764863673456,5,1000
binary_attack,mac,extra_trees,root_mac_tx_attempts_delta,0.017945272817995676,0.0006219234657074199,0.01726573359294057,0.01884930776513648,5,1000
binary_attack,mac,extra_trees,root_mac_acked_delta,0.0018140375063459553,0.0002920958126559587,0.0015664184091792293,0.0022649377602374328,5,1000
binary_attack,mac,extra_trees,client_mac_reset_nodes,0.0006374227146876551,0.00012323514362733533,0.0005271681598554692,0.000831995573501205,5,1000
binary_attack,mac,extra_trees,client_mac_valid_nodes,0.0005486097036056254,0.00010094056535827824,0.00043232040017501,0.0006869402686869311,5,1000
binary_attack,mac,extra_trees,queue_drops_delta,0.00013869954952954675,0.0001558878826269457,4.456654871724212e-05,0.00041628713928290947,5,1000
cause_family,all,random_forest,mean_rank,0.09379167051657993,0.001496681772632134,0.09219072923779541,0.09549953072948357,5,1000
cause_family,all,random_forest,mean_etx_x100,0.059880607536318096,0.002440061526046782,0.05706356017339737,0.06333684976559113,5,1000
cause_family,all,random_forest,client_mac_rx_delta,0.053413660702794095,0.0007709516263399066,0.05274004405576688,0.05471097901631252,5,1000
cause_family,all,random_forest,client_energest_listen_delta,0.050290159712432614,0.0026341890426189334,0.047005602934580275,0.053569127807153644,5,1000
cause_family,all,random_forest,client_energest_tx_delta,0.04865610990668611,0.002780883113511728,0.045109577066609785,0.05214569132048065,5,1000
cause_family,all,random_forest,client_radio_tx_fraction,0.04581286903107208,0.0019262619480957524,0.04342489245886932,0.04838598178518472,5,1000
cause_family,all,random_forest,root_mean_etx_x100,0.03734012106058556,0.003601538934260988,0.03283451775474903,0.04274053814308973,5,1000
cause_family,all,random_forest,p95_etx_x100,0.02706589813460329,0.001537451164819412,0.024625928690460135,0.02869670807177203,5,1000
cause_family,all,random_forest,client_mac_ack_ratio,0.019317798695527938,0.0030405375165783463,0.014982382102792846,0.022847370244410563,5,1000
