task,feature_set,model,fold,run_id,seed,scenario,window_start_s,window_end_s,true_target,top_features,top_mean_abs_shap
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,190,200,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.35307819 | 0.10758687 | 0.047357155 | 0.022173395 | 0.016102057
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,210,220,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | root_mac_ack_ratio | client_mac_tx_attempts_delta,0.28218205 | 0.099382391 | 0.053931542 | 0.032801123 | 0.027620496
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,290,300,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.38431692 | 0.11987312 | 0.055302804 | 0.043161439 | 0.026792416
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,300,310,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.38836669 | 0.11852877 | 0.053165968 | 0.044435319 | 0.030707676
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,340,350,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | root_mac_ack_ratio | client_mac_ack_ratio,0.36872253 | 0.12474665 | 0.058256514 | 0.031788469 | 0.03014761
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,360,370,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.38229546 | 0.11960475 | 0.056402438 | 0.044167674 | 0.027644153
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,480,490,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | root_mac_ack_ratio | client_mac_tx_attempts_delta,0.33496212 | 0.10914292 | 0.053838268 | 0.035987037 | 0.032356187
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,200,210,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.38663299 | 0.12055601 | 0.057509031 | 0.042603275 | 0.029501734
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,220,230,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | client_mac_tx_attempts_delta,0.35304446 | 0.10517477 | 0.067468548 | 0.036624589 | 0.03140212
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,230,240,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | client_mac_acked_delta | root_mac_ack_ratio,0.35021643 | 0.10074935 | 0.063929689 | 0.048412432 | 0.044327138
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,240,250,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | client_mac_acked_delta | root_mac_ack_ratio,0.36449586 | 0.099276189 | 0.057213711 | 0.04809964 | 0.017838584
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,380,390,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.38229546 | 0.11960475 | 0.056402438 | 0.044167674 | 0.027644153
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,390,400,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.35874859 | 0.10844586 | 0.054012506 | 0.036035651 | 0.023386092
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,400,410,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.37377884 | 0.11050849 | 0.057362044 | 0.035307419 | 0.033832366
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,420,430,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | root_mac_ack_ratio | client_mac_tx_attempts_delta,0.35117555 | 0.11507884 | 0.054370341 | 0.026246629 | 0.02471894
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,440,450,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.39045335 | 0.11973135 | 0.05420925 | 0.045365591 | 0.030710969
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,470,480,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.38384456 | 0.12007401 | 0.056932357 | 0.042840347 | 0.033248052
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,490,500,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | root_mac_ack_ratio | client_mac_tx_attempts_delta,0.3464762 | 0.11378443 | 0.052762295 | 0.036436589 | 0.032431035
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,500,510,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.38431692 | 0.11987312 | 0.055302804 | 0.043161439 | 0.026792416
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,510,520,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.37262944 | 0.11082415 | 0.057669474 | 0.039660313 | 0.027873109
binary_attack,mac,extra_trees,1,Clean_seed1006_600s,1006,Clean,520,530,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.374469 | 0.12232048 | 0.057546986 | 0.043645393 | 0.026109476
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,190,200,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_tx_attempts_delta,0.40255566 | 0.060586094 | 0.051119257 | 0.049563344 | 0.022295665
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,200,210,attack,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_tx_attempts_delta,0.38833472 | 0.061362028 | 0.056509112 | 0.052131047 | 0.02408709
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,210,220,attack,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | root_mac_tx_attempts_delta | client_mac_ack_ratio,0.4905201 | 0.049690585 | 0.017093494 | 0.014134316 | 0.013111518
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,280,290,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.40506945 | 0.063599919 | 0.052530086 | 0.042014779 | 0.019329209
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,290,300,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.42710015 | 0.066197856 | 0.049473511 | 0.032872119 | 0.021436272
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,300,310,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.40836361 | 0.061664158 | 0.051933196 | 0.04721178 | 0.019919776
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,310,320,attack,client_mac_rx_delta | root_mac_ack_ratio | root_mac_rx_delta | client_mac_ack_ratio | root_mac_tx_attempts_delta,0.41780314 | 0.058937298 | 0.051116384 | 0.040170561 | 0.025907462
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,340,350,attack,client_mac_rx_delta | root_mac_ack_ratio | root_mac_rx_delta | client_mac_ack_ratio | client_mac_acked_delta,0.42620265 | 0.055204577 | 0.051608691 | 0.035799055 | 0.020293337
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,360,370,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_tx_attempts_delta,0.40360906 | 0.064094404 | 0.052422827 | 0.040316622 | 0.019442141
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,370,380,attack,client_mac_rx_delta | root_mac_rx_delta | root_mac_ack_ratio | client_mac_ack_ratio | client_mac_tx_attempts_delta,0.50382059 | 0.050801255 | 0.033892641 | 0.031914077 | 0.021609331
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,380,390,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | root_mac_tx_attempts_delta,0.4219916 | 0.053364647 | 0.051283352 | 0.051184856 | 0.024205174
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,390,400,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | root_mac_tx_attempts_delta,0.4224394 | 0.06648541 | 0.046720496 | 0.035496717 | 0.019576347
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,410,420,attack,client_mac_rx_delta | root_mac_ack_ratio | root_mac_rx_delta | client_mac_ack_ratio | client_mac_acked_delta,0.43764948 | 0.05573395 | 0.04790851 | 0.042864849 | 0.025928239
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,450,460,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_acked_delta,0.41290123 | 0.053689415 | 0.052160769 | 0.051218045 | 0.018439696
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,480,490,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.41695716 | 0.063581218 | 0.050850284 | 0.047999274 | 0.020391101
binary_attack,mac,extra_trees,1,DIO_Flood_seed1001_600s,1001,DIO_Flood,490,500,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_acked_delta,0.44642583 | 0.059716844 | 0.042343918 | 0.041145228 | 0.021959446
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,220,230,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | root_mac_tx_attempts_delta,0.35608038 | 0.071922125 | 0.05931401 | 0.05885687 | 0.021617536
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,230,240,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_acked_delta,0.39011669 | 0.065455817 | 0.050222698 | 0.036126863 | 0.023199857
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,240,250,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_acked_delta,0.36597499 | 0.068185754 | 0.060165548 | 0.046435852 | 0.0214689
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,260,270,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.37787383 | 0.061539211 | 0.050575045 | 0.050156257 | 0.027482337
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,290,300,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_tx_attempts_delta,0.36336561 | 0.082288454 | 0.056923132 | 0.029527349 | 0.019875479
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,300,310,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.38738731 | 0.069482036 | 0.056279857 | 0.046462719 | 0.030321869
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,350,360,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.33683603 | 0.064559769 | 0.060714724 | 0.054926162 | 0.022818367
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,380,390,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_tx_attempts_delta,0.29130522 | 0.10123463 | 0.058476445 | 0.046279928 | 0.041745713
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,400,410,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.37145073 | 0.075575411 | 0.065419286 | 0.048246243 | 0.030706635
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,410,420,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.37679084 | 0.072840515 | 0.064848577 | 0.048449375 | 0.025536385
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,420,430,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_tx_attempts_delta,0.36192947 | 0.064942074 | 0.054724105 | 0.045733144 | 0.019929486
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,470,480,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_tx_attempts_delta,0.32683405 | 0.085044065 | 0.052801746 | 0.052503709 | 0.027834572
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,500,510,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.38719589 | 0.068717511 | 0.061694269 | 0.044429649 | 0.022467559
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,510,520,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_acked_delta,0.38029641 | 0.067561731 | 0.060130613 | 0.05287667 | 0.032873346
binary_attack,mac,extra_trees,1,DIO_Flood_seed1006_600s,1006,DIO_Flood,520,530,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.36676039 | 0.077311107 | 0.062816143 | 0.048082703 | 0.032931373
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,200,210,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_tx_attempts_delta,0.3818959 | 0.065248572 | 0.046002538 | 0.023818162 | 0.019123927
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,220,230,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.34215941 | 0.057283919 | 0.046503251 | 0.037920652 | 0.018202015
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,230,240,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.33541062 | 0.058339131 | 0.053408034 | 0.043204669 | 0.019045097
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,270,280,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.34672087 | 0.052191039 | 0.051525451 | 0.042812847 | 0.016302493
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,280,290,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.33476155 | 0.056200906 | 0.053505027 | 0.046310997 | 0.019078629
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,300,310,attack,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | client_mac_acked_delta,0.34141282 | 0.073646986 | 0.058105281 | 0.032232801 | 0.019534714
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,310,320,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.34247969 | 0.056975338 | 0.046495785 | 0.037923604 | 0.018204061
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,330,340,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.36147707 | 0.058583882 | 0.036769104 | 0.029773681 | 0.016101218
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,370,380,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_acked_delta,0.34612889 | 0.057384634 | 0.046511857 | 0.038395415 | 0.019203314
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,390,400,attack,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_tx_attempts_delta,0.32301871 | 0.062969854 | 0.054068271 | 0.045378923 | 0.016854274
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,410,420,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_tx_attempts_delta | client_mac_tx_attempts_delta,0.3549928 | 0.060383454 | 0.048704562 | 0.023209745 | 0.016989611
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,430,440,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.33181018 | 0.057616252 | 0.052137947 | 0.0433222 | 0.016731685
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,440,450,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.33889837 | 0.058093779 | 0.048238005 | 0.037785638 | 0.018206366
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,450,460,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.34069588 | 0.052206087 | 0.049232735 | 0.04096887 | 0.020939524
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,460,470,attack,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | client_mac_acked_delta,0.42899803 | 0.1077522 | 0.037310257 | 0.025677428 | 0.0098111065
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,470,480,attack,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_tx_attempts_delta,0.32396243 | 0.061859077 | 0.05404992 | 0.046588983 | 0.016843445
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,480,490,attack,client_mac_rx_delta | client_mac_ack_ratio | client_mac_acked_delta | root_mac_tx_attempts_delta | root_mac_ack_ratio,0.44464922 | 0.06071048 | 0.018208076 | 0.016521665 | 0.013612975
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,490,500,attack,client_mac_rx_delta | root_mac_rx_delta | root_mac_ack_ratio | client_mac_ack_ratio | root_mac_tx_attempts_delta,0.40209038 | 0.069801386 | 0.025075085 | 0.019516468 | 0.016813513
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,510,520,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | root_mac_tx_attempts_delta,0.33971834 | 0.057740756 | 0.048069336 | 0.037806534 | 0.01811248
binary_attack,mac,extra_trees,1,DIS_Flood_seed1001_600s,1001,DIS_Flood,520,530,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_rx_delta | client_mac_acked_delta,0.34996053 | 0.059576668 | 0.04764883 | 0.039035062 | 0.021716326
binary_attack,mac,extra_trees,1,DIS_Flood_seed1006_600s,1006,DIS_Flood,190,200,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_rx_delta | root_mac_ack_ratio | client_mac_acked_delta,0.32291774 | 0.060247612 | 0.055944259 | 0.048680353 | 0.01928307
binary_attack,mac,extra_trees,1,DIS_Flood_seed1006_600s,1006,DIS_Flood,220,230,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_tx_attempts_delta | client_mac_tx_attempts_delta,0.34310175 | 0.059751284 | 0.048217436 | 0.021330238 | 0.020221958
binary_attack,mac,extra_trees,1,DIS_Flood_seed1006_600s,1006,DIS_Flood,240,250,attack,client_mac_rx_delta | root_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_tx_attempts_delta,0.31446811 | 0.064481875 | 0.05716015 | 0.046979417 | 0.017096437
binary_attack,mac,extra_trees,1,DIS_Flood_seed1006_600s,1006,DIS_Flood,260,270,attack,client_mac_rx_delta | client_mac_ack_ratio | root_mac_ack_ratio | root_mac_tx_attempts_delta | client_mac_tx_attempts_delta,0.33237376 | 0.07079171 | 0.047985492 | 0.02496288 | 0.024188597
