task,metric,config_a,config_b,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wins_a,ties,wins_b,wilcoxon_statistic,p_value_raw,p_value_holm,significant_holm_0_05
attack_subtype,macro_f1,attack_subtype__mac__extra_trees,attack_subtype__all__extra_trees,0.9950974030105229,0.9941163746484966,0.0009810283620261928,0.0,2,7,1,1.0,0.5,1.0,False
attack_subtype,macro_f1,attack_subtype__mac__extra_trees,attack_subtype__all__random_forest,0.9950974030105229,0.9892108064982821,0.0058865965122406605,0.004903021126252793,5,5,0,0.0,0.0625,0.25,False
attack_subtype,macro_f1,attack_subtype__mac__extra_trees,attack_subtype__all__logistic,0.9950974030105229,0.9145575378869738,0.08053986512354891,0.034515042698966936,6,3,1,1.0,0.03125,0.21875,False
attack_subtype,macro_f1,attack_subtype__mac__extra_trees,attack_subtype__radio__extra_trees,0.9950974030105229,0.7237500919054372,0.2713473111050856,0.27992121482669063,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__mac__extra_trees,attack_subtype__routing__extra_trees,0.9950974030105229,0.45309697905513413,0.5420004239553887,0.520533085581114,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__mac__extra_trees,attack_subtype__application_qos__extra_trees,0.9950974030105229,0.4335110999687156,0.5615863030418072,0.5590689457628109,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__extra_trees,attack_subtype__all__random_forest,0.9941163746484966,0.9892108064982821,0.0049055681502144675,0.0,3,7,0,0.0,0.25,0.75,False
attack_subtype,macro_f1,attack_subtype__all__extra_trees,attack_subtype__all__logistic,0.9941163746484966,0.9145575378869738,0.07955883676152271,0.03941594314134156,6,2,2,3.0,0.0390625,0.234375,False
attack_subtype,macro_f1,attack_subtype__all__extra_trees,attack_subtype__radio__extra_trees,0.9941163746484966,0.7237500919054372,0.2703662827430594,0.2798872838846404,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__extra_trees,attack_subtype__routing__extra_trees,0.9941163746484966,0.45309697905513413,0.5410193955933627,0.520533085581114,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__extra_trees,attack_subtype__application_qos__extra_trees,0.9941163746484966,0.4335110999687156,0.5606052746797812,0.5590689457628109,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__random_forest,attack_subtype__all__logistic,0.9892108064982821,0.9145575378869738,0.07465326861130825,0.0197974910764262,6,2,2,3.0,0.0390625,0.234375,False
attack_subtype,macro_f1,attack_subtype__all__random_forest,attack_subtype__radio__extra_trees,0.9892108064982821,0.7237500919054372,0.2654607145928449,0.2748156621386918,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__random_forest,attack_subtype__routing__extra_trees,0.9892108064982821,0.45309697905513413,0.5361138274431482,0.5200958361699042,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__random_forest,attack_subtype__application_qos__extra_trees,0.9892108064982821,0.4335110999687156,0.5556997065295665,0.5590689457628109,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__logistic,attack_subtype__radio__extra_trees,0.9145575378869738,0.7237500919054372,0.19080744598153668,0.23709193433592718,9,0,1,2.0,0.005859375,0.046875,True
attack_subtype,macro_f1,attack_subtype__all__logistic,attack_subtype__routing__extra_trees,0.9145575378869738,0.45309697905513413,0.46146055883183984,0.46925516117132965,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__all__logistic,attack_subtype__application_qos__extra_trees,0.9145575378869738,0.4335110999687156,0.4810464379182583,0.5202636433614695,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__radio__extra_trees,attack_subtype__routing__extra_trees,0.7237500919054372,0.45309697905513413,0.2706531128503032,0.27825592855031905,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__radio__extra_trees,attack_subtype__application_qos__extra_trees,0.7237500919054372,0.4335110999687156,0.2902389919367216,0.28853604458165405,10,0,0,0.0,0.001953125,0.041015625,True
attack_subtype,macro_f1,attack_subtype__routing__extra_trees,attack_subtype__application_qos__extra_trees,0.45309697905513413,0.4335110999687156,0.019585879086418467,0.021358844062101257,6,0,4,26.0,0.921875,1.0,False
binary_attack,macro_f1,binary_attack__mac__extra_trees,binary_attack__all__extra_trees,1.0,1.0,0.0,0.0,0,10,0,0.0,1.0,1.0,False
binary_attack,macro_f1,binary_attack__mac__extra_trees,binary_attack__radio__extra_trees,1.0,0.9399948460692892,0.06000515393071086,0.05809946167374613,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__mac__extra_trees,binary_attack__routing__extra_trees,1.0,0.840027596218488,0.15997240378151206,0.16097532706250484,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__mac__extra_trees,binary_attack__application_qos__extra_trees,1.0,0.635310119656277,0.36468988034372307,0.3641176332281249,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__all__extra_trees,binary_attack__radio__extra_trees,1.0,0.9399948460692892,0.06000515393071086,0.05809946167374613,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__all__extra_trees,binary_attack__routing__extra_trees,1.0,0.840027596218488,0.15997240378151206,0.16097532706250484,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__all__extra_trees,binary_attack__application_qos__extra_trees,1.0,0.635310119656277,0.36468988034372307,0.3641176332281249,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__radio__extra_trees,binary_attack__routing__extra_trees,0.9399948460692892,0.840027596218488,0.09996724985080122,0.09587845597632372,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__radio__extra_trees,binary_attack__application_qos__extra_trees,0.9399948460692892,0.635310119656277,0.30468472641301225,0.3034950325695,10,0,0,0.0,0.001953125,0.01953125,True
binary_attack,macro_f1,binary_attack__routing__extra_trees,binary_attack__application_qos__extra_trees,0.840027596218488,0.635310119656277,0.20471747656221098,0.21174852292003427,10,0,0,0.0,0.001953125,0.01953125,True
cause_family,macro_f1,cause_family__all__random_forest,cause_family__all__extra_trees,0.9966859322029482,0.994704011354903,0.0019819208480448937,7.893282816306968e-06,5,4,1,4.0,0.21875,0.21875,False
cause_family,macro_f1,cause_family__all__random_forest,cause_family__mac__extra_trees,0.9966859322029482,0.9469955575930216,0.049690374609926556,0.04608097142131795,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__all__random_forest,cause_family__radio__extra_trees,0.9966859322029482,0.8601351867098938,0.13655074549305435,0.14530944108391503,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__all__random_forest,cause_family__routing__extra_trees,0.9966859322029482,0.6888234299546616,0.3078625022482865,0.2861612474107197,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__all__random_forest,cause_family__application_qos__extra_trees,0.9966859322029482,0.4940287378622383,0.5026571943407097,0.5104120062091672,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__all__extra_trees,cause_family__mac__extra_trees,0.994704011354903,0.9469955575930216,0.04770845376188167,0.0427804011021819,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__all__extra_trees,cause_family__radio__extra_trees,0.994704011354903,0.8601351867098938,0.13456882464500944,0.14605497937494827,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__all__extra_trees,cause_family__routing__extra_trees,0.994704011354903,0.6888234299546616,0.3058805814002416,0.2861533541279034,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__all__extra_trees,cause_family__application_qos__extra_trees,0.994704011354903,0.4940287378622383,0.5006752734926649,0.5038108655708952,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__mac__extra_trees,cause_family__radio__extra_trees,0.9469955575930216,0.8601351867098938,0.08686037088312779,0.09106463307324686,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__mac__extra_trees,cause_family__routing__extra_trees,0.9469955575930216,0.6888234299546616,0.25817212763835995,0.25116817820534415,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__mac__extra_trees,cause_family__application_qos__extra_trees,0.9469955575930216,0.4940287378622383,0.45296681973078323,0.4419822216115029,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__radio__extra_trees,cause_family__routing__extra_trees,0.8601351867098938,0.6888234299546616,0.1713117567552322,0.1713414839214661,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__radio__extra_trees,cause_family__application_qos__extra_trees,0.8601351867098938,0.4940287378622383,0.3661064488476554,0.37359292305867775,10,0,0,0.0,0.001953125,0.029296875,True
cause_family,macro_f1,cause_family__routing__extra_trees,cause_family__application_qos__extra_trees,0.6888234299546616,0.4940287378622383,0.19479469209242328,0.18992677201361444,10,0,0,0.0,0.001953125,0.029296875,True
impairment_severity,macro_f1,impairment_severity__routing__extra_trees,impairment_severity__all__extra_trees,0.9851504081818234,0.9799757692233462,0.0051746389584772625,0.007576444787702585,6,2,2,10.0,0.296875,0.890625,False
impairment_severity,macro_f1,impairment_severity__routing__extra_trees,impairment_severity__all__random_forest,0.9851504081818234,0.9761680842882198,0.008982323893603605,0.0,4,5,1,1.0,0.125,0.6328125,False
impairment_severity,macro_f1,impairment_severity__routing__extra_trees,impairment_severity__all__logistic,0.9851504081818234,0.9718653667181261,0.01328504146369729,0.018334569389079458,8,0,2,11.0,0.10546875,0.6328125,False
impairment_severity,macro_f1,impairment_severity__routing__extra_trees,impairment_severity__mac__extra_trees,0.9851504081818234,0.7479449769743501,0.23720543120747317,0.22800321446606708,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__routing__extra_trees,impairment_severity__radio__extra_trees,0.9851504081818234,0.685598257739402,0.29955215044242145,0.2842359063279758,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__routing__extra_trees,impairment_severity__application_qos__extra_trees,0.9851504081818234,0.5324783196686105,0.45267208851321283,0.4538692027554439,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__extra_trees,impairment_severity__all__random_forest,0.9799757692233462,0.9761680842882198,0.003807684935126343,0.003682041514617762,5,2,3,12.0,0.4609375,0.921875,False
impairment_severity,macro_f1,impairment_severity__all__extra_trees,impairment_severity__all__logistic,0.9799757692233462,0.9718653667181261,0.008110402505220026,0.01098003769970024,6,0,4,13.0,0.16015625,0.640625,False
impairment_severity,macro_f1,impairment_severity__all__extra_trees,impairment_severity__mac__extra_trees,0.9799757692233462,0.7479449769743501,0.23203079224899592,0.23436273829012283,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__extra_trees,impairment_severity__radio__extra_trees,0.9799757692233462,0.685598257739402,0.29437751148394414,0.2728196617892479,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__extra_trees,impairment_severity__application_qos__extra_trees,0.9799757692233462,0.5324783196686105,0.4474974495547356,0.45352918606155657,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__random_forest,impairment_severity__all__logistic,0.9761680842882198,0.9718653667181261,0.004302717570093683,0.0035601922176751732,5,0,5,25.0,0.826171875,0.921875,False
impairment_severity,macro_f1,impairment_severity__all__random_forest,impairment_severity__mac__extra_trees,0.9761680842882198,0.7479449769743501,0.22822310731386958,0.22800321446606708,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__random_forest,impairment_severity__radio__extra_trees,0.9761680842882198,0.685598257739402,0.2905698265488178,0.2805538648133581,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__random_forest,impairment_severity__application_qos__extra_trees,0.9761680842882198,0.5324783196686105,0.44368976461960924,0.4423374771527022,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__logistic,impairment_severity__mac__extra_trees,0.9718653667181261,0.7479449769743501,0.2239203897437759,0.221237565861779,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__logistic,impairment_severity__radio__extra_trees,0.9718653667181261,0.685598257739402,0.2862671089787241,0.25990527387495393,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__all__logistic,impairment_severity__application_qos__extra_trees,0.9718653667181261,0.5324783196686105,0.43938704704951553,0.44971010224953883,10,0,0,0.0,0.001953125,0.041015625,True
impairment_severity,macro_f1,impairment_severity__mac__extra_trees,impairment_severity__radio__extra_trees,0.7479449769743501,0.685598257739402,0.06234671923494824,0.05008546391758817,9,0,1,1.0,0.00390625,0.041015625,True
impairment_severity,macro_f1,impairment_severity__mac__extra_trees,impairment_severity__application_qos__extra_trees,0.7479449769743501,0.5324783196686105,0.2154666573057397,0.22662141952161863,10,0,0,0.0,0.001953125,0.041015625,True
