task,feature_set,model,true_class,predicted_class,count
binary_attack,application_qos,extra_trees,attack,attack,592
binary_attack,application_qos,extra_trees,attack,benign,428
binary_attack,application_qos,extra_trees,benign,attack,420
binary_attack,application_qos,extra_trees,benign,benign,940
binary_attack,routing,extra_trees,attack,attack,916
binary_attack,routing,extra_trees,attack,benign,104
binary_attack,routing,extra_trees,benign,attack,274
binary_attack,routing,extra_trees,benign,benign,1086
binary_attack,mac,extra_trees,attack,attack,1020
binary_attack,mac,extra_trees,attack,benign,0
binary_attack,mac,extra_trees,benign,attack,0
binary_attack,mac,extra_trees,benign,benign,1360
binary_attack,radio,extra_trees,attack,attack,954
binary_attack,radio,extra_trees,attack,benign,66
binary_attack,radio,extra_trees,benign,attack,74
binary_attack,radio,extra_trees,benign,benign,1286
binary_attack,all,extra_trees,attack,attack,1020
binary_attack,all,extra_trees,attack,benign,0
binary_attack,all,extra_trees,benign,attack,0
binary_attack,all,extra_trees,benign,benign,1360
cause_family,application_qos,extra_trees,attack,attack,743
cause_family,application_qos,extra_trees,attack,impairment,225
cause_family,application_qos,extra_trees,attack,normal,52
cause_family,application_qos,extra_trees,impairment,attack,276
cause_family,application_qos,extra_trees,impairment,impairment,727
cause_family,application_qos,extra_trees,impairment,normal,17
cause_family,application_qos,extra_trees,normal,attack,274
cause_family,application_qos,extra_trees,normal,impairment,40
cause_family,application_qos,extra_trees,normal,normal,26
cause_family,routing,extra_trees,attack,attack,934
cause_family,routing,extra_trees,attack,impairment,12
cause_family,routing,extra_trees,attack,normal,74
cause_family,routing,extra_trees,impairment,attack,5
cause_family,routing,extra_trees,impairment,impairment,1015
cause_family,routing,extra_trees,impairment,normal,0
cause_family,routing,extra_trees,normal,attack,280
cause_family,routing,extra_trees,normal,impairment,0
cause_family,routing,extra_trees,normal,normal,60
cause_family,mac,extra_trees,attack,attack,1020
cause_family,mac,extra_trees,attack,impairment,0
cause_family,mac,extra_trees,attack,normal,0
cause_family,mac,extra_trees,impairment,attack,0
cause_family,mac,extra_trees,impairment,impairment,985
cause_family,mac,extra_trees,impairment,normal,35
cause_family,mac,extra_trees,normal,attack,0
cause_family,mac,extra_trees,normal,impairment,45
cause_family,mac,extra_trees,normal,normal,295
cause_family,radio,extra_trees,attack,attack,953
cause_family,radio,extra_trees,attack,impairment,63
cause_family,radio,extra_trees,attack,normal,4
cause_family,radio,extra_trees,impairment,attack,68
cause_family,radio,extra_trees,impairment,impairment,874
cause_family,radio,extra_trees,impairment,normal,78
cause_family,radio,extra_trees,normal,attack,4
cause_family,radio,extra_trees,normal,impairment,64
cause_family,radio,extra_trees,normal,normal,272
cause_family,all,extra_trees,attack,attack,1020
cause_family,all,extra_trees,attack,impairment,0
cause_family,all,extra_trees,attack,normal,0
cause_family,all,extra_trees,impairment,attack,0
cause_family,all,extra_trees,impairment,impairment,1020
cause_family,all,extra_trees,impairment,normal,0
cause_family,all,extra_trees,normal,attack,2
cause_family,all,extra_trees,normal,impairment,6
cause_family,all,extra_trees,normal,normal,332
seven_class,application_qos,extra_trees,Clean,Clean,84
seven_class,application_qos,extra_trees,Clean,DIO_Flood,76
seven_class,application_qos,extra_trees,Clean,DIS_Flood,76
seven_class,application_qos,extra_trees,Clean,RX60,0
seven_class,application_qos,extra_trees,Clean,RX75,20
seven_class,application_qos,extra_trees,Clean,RX90,44
seven_class,application_qos,extra_trees,Clean,UDP_Flood,40
seven_class,application_qos,extra_trees,DIO_Flood,Clean,76
seven_class,application_qos,extra_trees,DIO_Flood,DIO_Flood,86
seven_class,application_qos,extra_trees,DIO_Flood,DIS_Flood,75
seven_class,application_qos,extra_trees,DIO_Flood,RX60,5
seven_class,application_qos,extra_trees,DIO_Flood,RX75,15
seven_class,application_qos,extra_trees,DIO_Flood,RX90,46
seven_class,application_qos,extra_trees,DIO_Flood,UDP_Flood,37
seven_class,application_qos,extra_trees,DIS_Flood,Clean,90
seven_class,application_qos,extra_trees,DIS_Flood,DIO_Flood,77
seven_class,application_qos,extra_trees,DIS_Flood,DIS_Flood,63
seven_class,application_qos,extra_trees,DIS_Flood,RX60,6
seven_class,application_qos,extra_trees,DIS_Flood,RX75,18
seven_class,application_qos,extra_trees,DIS_Flood,RX90,46
seven_class,application_qos,extra_trees,DIS_Flood,UDP_Flood,40
seven_class,application_qos,extra_trees,RX60,Clean,0
seven_class,application_qos,extra_trees,RX60,DIO_Flood,3
seven_class,application_qos,extra_trees,RX60,DIS_Flood,1
seven_class,application_qos,extra_trees,RX60,RX60,244
seven_class,application_qos,extra_trees,RX60,RX75,66
seven_class,application_qos,extra_trees,RX60,RX90,7
seven_class,application_qos,extra_trees,RX60,UDP_Flood,19
seven_class,application_qos,extra_trees,RX75,Clean,14
seven_class,application_qos,extra_trees,RX75,DIO_Flood,8
seven_class,application_qos,extra_trees,RX75,DIS_Flood,11
seven_class,application_qos,extra_trees,RX75,RX60,105
seven_class,application_qos,extra_trees,RX75,RX75,113
seven_class,application_qos,extra_trees,RX75,RX90,47
seven_class,application_qos,extra_trees,RX75,UDP_Flood,42
seven_class,application_qos,extra_trees,RX90,Clean,55
seven_class,application_qos,extra_trees,RX90,DIO_Flood,46
seven_class,application_qos,extra_trees,RX90,DIS_Flood,43
seven_class,application_qos,extra_trees,RX90,RX60,18
seven_class,application_qos,extra_trees,RX90,RX75,64
seven_class,application_qos,extra_trees,RX90,RX90,62
seven_class,application_qos,extra_trees,RX90,UDP_Flood,52
seven_class,application_qos,extra_trees,UDP_Flood,Clean,40
seven_class,application_qos,extra_trees,UDP_Flood,DIO_Flood,42
seven_class,application_qos,extra_trees,UDP_Flood,DIS_Flood,46
seven_class,application_qos,extra_trees,UDP_Flood,RX60,27
seven_class,application_qos,extra_trees,UDP_Flood,RX75,66
seven_class,application_qos,extra_trees,UDP_Flood,RX90,58
seven_class,application_qos,extra_trees,UDP_Flood,UDP_Flood,61
seven_class,routing,extra_trees,Clean,Clean,107
