task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
binary_attack,application_qos,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.6659663865546218,0.6574754901960784,0.6579207853665813,0.6654153179800985,0.6585182228833699,0.6574754901960784,0.3159919926426611,0.7328161043829295,0.6146335618028425,
binary_attack,application_qos,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.6617647058823529,0.6513480392156863,0.6521841740985317,0.6604307077858715,0.6537560189677585,0.6513480392156863,0.3050945557585721,0.7302840253748557,0.6151881340771561,
binary_attack,application_qos,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.6176470588235294,0.6041666666666666,0.6047449584816134,0.6149466192170819,0.60715609936967,0.6041666666666666,0.21130162029043342,0.6816789215686275,0.5738238131807395,
binary_attack,application_qos,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.6470588235294118,0.642156862745098,0.6413605051664752,0.6478185993111366,0.6409376786735277,0.642156862745098,0.2830919161177543,0.6888426326412919,0.5721868232575404,
binary_attack,application_qos,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.6260504201680672,0.6237745098039216,0.6218782912940253,0.6275523865627223,0.6217989643186493,0.6237745098039216,0.2455655277368235,0.6690185265282583,0.5428238834345968,
binary_attack,application_qos,extra_trees,pooled,,1001-1010,,2380,0.6436974789915967,0.6357843137254902,0.6359133627358164,0.6435185337903144,0.6360573700390634,0.6357843137254902,0.27184154662633375,0.7001409313725491,0.5775117458346363,
binary_attack,routing,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.842436974789916,0.8480392156862745,0.8413721090400124,0.8432287980398442,0.8410869142867236,0.8480392156862745,0.6890910596697734,0.8963199250288351,0.8076367384104444,
binary_attack,routing,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.8445378151260504,0.8572303921568627,0.844361965358784,0.8451093268696662,0.851953125,0.8572303921568627,0.7091638819471373,0.9059346164936563,0.8476078542208065,
binary_attack,routing,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.8550420168067226,0.8553921568627451,0.8529331428801712,0.8554489924767589,0.851421188630491,0.8553921568627451,0.7068021907002263,0.9271103662053057,0.8753543732324658,
binary_attack,routing,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.8382352941176471,0.849264705882353,0.837919826652221,0.8389413403497911,0.8431606905710491,0.849264705882353,0.6923984912250535,0.9263444348327567,0.8867991340574348,
binary_attack,routing,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.8256302521008403,0.8314950980392157,0.8245702842273996,0.8265183332921013,0.8247814955416262,0.8314950980392157,0.6562422531531918,0.9142877739331026,0.8668004822585276,
binary_attack,routing,extra_trees,pooled,,1001-1010,,2380,0.8411764705882353,0.8482843137254903,0.8403619909502262,0.8419909502262444,0.8411764705882353,0.8482843137254903,0.6894241449734942,0.9108452277970012,0.8510848756151952,
binary_attack,mac,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,mac,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,mac,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,mac,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,mac,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,mac,extra_trees,pooled,,1001-1010,,2380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
