feature,importance,task,feature_set,model,fold
numeric__mean_rtt_ms,0.19479106644208924,binary_attack,application_qos,extra_trees,1
numeric__p95_rtt_ms,0.14459946151006037,binary_attack,application_qos,extra_trees,1
numeric__median_rtt_ms,0.13372747429811402,binary_attack,application_qos,extra_trees,1
numeric__max_rtt_ms,0.13132500651497733,binary_attack,application_qos,extra_trees,1
numeric__std_rtt_ms,0.13050471501080477,binary_attack,application_qos,extra_trees,1
numeric__app_tx_delta,0.0553043066247433,binary_attack,application_qos,extra_trees,1
numeric__app_rx_delta,0.05390643177385169,binary_attack,application_qos,extra_trees,1
numeric__root_server_tx_delta,0.03806271498505073,binary_attack,application_qos,extra_trees,1
numeric__root_server_rx_delta,0.03795751446809882,binary_attack,application_qos,extra_trees,1
numeric__transaction_success_count,0.024728021826049065,binary_attack,application_qos,extra_trees,1
numeric__uplink_success_count,0.02429068948878977,binary_attack,application_qos,extra_trees,1
numeric__transaction_count,0.024254958265942542,binary_attack,application_qos,extra_trees,1
numeric__app_timeouts_delta,0.0032037427474771877,binary_attack,application_qos,extra_trees,1
numeric__app_delivery_ratio,0.0026844534164899817,binary_attack,application_qos,extra_trees,1
numeric__uplink_delivery_ratio,0.0006594426274611841,binary_attack,application_qos,extra_trees,1
numeric__reachable_fraction,0.0,binary_attack,application_qos,extra_trees,1
numeric__route_miss_delta,0.0,binary_attack,application_qos,extra_trees,1
numeric__mean_rtt_ms,0.1882403651020271,binary_attack,application_qos,extra_trees,2
numeric__p95_rtt_ms,0.14596218911261732,binary_attack,application_qos,extra_trees,2
numeric__max_rtt_ms,0.1330398336792125,binary_attack,application_qos,extra_trees,2
numeric__std_rtt_ms,0.13141329363329285,binary_attack,application_qos,extra_trees,2
numeric__median_rtt_ms,0.13046533463178972,binary_attack,application_qos,extra_trees,2
numeric__app_rx_delta,0.056317285722263785,binary_attack,application_qos,extra_trees,2
numeric__app_tx_delta,0.05567158982469975,binary_attack,application_qos,extra_trees,2
numeric__root_server_rx_delta,0.03842255091879917,binary_attack,application_qos,extra_trees,2
numeric__root_server_tx_delta,0.03764611506369162,binary_attack,application_qos,extra_trees,2
numeric__transaction_success_count,0.025743626352775537,binary_attack,application_qos,extra_trees,2
numeric__uplink_success_count,0.02515729201154201,binary_attack,application_qos,extra_trees,2
numeric__transaction_count,0.02509946016978186,binary_attack,application_qos,extra_trees,2
numeric__app_timeouts_delta,0.0035710140423772436,binary_attack,application_qos,extra_trees,2
numeric__app_delivery_ratio,0.0026529912091104867,binary_attack,application_qos,extra_trees,2
numeric__uplink_delivery_ratio,0.0005970585260189978,binary_attack,application_qos,extra_trees,2
numeric__reachable_fraction,0.0,binary_attack,application_qos,extra_trees,2
numeric__route_miss_delta,0.0,binary_attack,application_qos,extra_trees,2
numeric__mean_rtt_ms,0.1962497794137228,binary_attack,application_qos,extra_trees,3
numeric__p95_rtt_ms,0.14729113512453051,binary_attack,application_qos,extra_trees,3
numeric__median_rtt_ms,0.1369951003662587,binary_attack,application_qos,extra_trees,3
numeric__max_rtt_ms,0.13252894081261637,binary_attack,application_qos,extra_trees,3
numeric__std_rtt_ms,0.13111108030052349,binary_attack,application_qos,extra_trees,3
numeric__app_tx_delta,0.05386666104892881,binary_attack,application_qos,extra_trees,3
numeric__app_rx_delta,0.05201321182965862,binary_attack,application_qos,extra_trees,3
numeric__root_server_tx_delta,0.03392068111795153,binary_attack,application_qos,extra_trees,3
numeric__root_server_rx_delta,0.03328677238730437,binary_attack,application_qos,extra_trees,3
numeric__transaction_success_count,0.025213670167022556,binary_attack,application_qos,extra_trees,3
numeric__transaction_count,0.02507422676937998,binary_attack,application_qos,extra_trees,3
numeric__uplink_success_count,0.02475498748170725,binary_attack,application_qos,extra_trees,3
numeric__app_timeouts_delta,0.003820436319109685,binary_attack,application_qos,extra_trees,3
numeric__app_delivery_ratio,0.0033670197401723025,binary_attack,application_qos,extra_trees,3
numeric__uplink_delivery_ratio,0.0005062971211130308,binary_attack,application_qos,extra_trees,3
numeric__reachable_fraction,0.0,binary_attack,application_qos,extra_trees,3
numeric__route_miss_delta,0.0,binary_attack,application_qos,extra_trees,3
numeric__mean_rtt_ms,0.1905200879539782,binary_attack,application_qos,extra_trees,4
numeric__p95_rtt_ms,0.1474292583509535,binary_attack,application_qos,extra_trees,4
numeric__median_rtt_ms,0.13365821487356924,binary_attack,application_qos,extra_trees,4
numeric__max_rtt_ms,0.13048194582865005,binary_attack,application_qos,extra_trees,4
numeric__std_rtt_ms,0.1296318958883854,binary_attack,application_qos,extra_trees,4
numeric__app_tx_delta,0.056986357923989095,binary_attack,application_qos,extra_trees,4
numeric__app_rx_delta,0.05432976087630521,binary_attack,application_qos,extra_trees,4
numeric__root_server_rx_delta,0.03864662989451147,binary_attack,application_qos,extra_trees,4
numeric__root_server_tx_delta,0.03856548397023501,binary_attack,application_qos,extra_trees,4
numeric__uplink_success_count,0.024629641909818728,binary_attack,application_qos,extra_trees,4
numeric__transaction_success_count,0.024587506822317334,binary_attack,application_qos,extra_trees,4
numeric__transaction_count,0.024362409384012344,binary_attack,application_qos,extra_trees,4
numeric__app_timeouts_delta,0.003226864878015077,binary_attack,application_qos,extra_trees,4
numeric__app_delivery_ratio,0.002449251662723988,binary_attack,application_qos,extra_trees,4
numeric__uplink_delivery_ratio,0.0004946897825354477,binary_attack,application_qos,extra_trees,4
numeric__reachable_fraction,0.0,binary_attack,application_qos,extra_trees,4
numeric__route_miss_delta,0.0,binary_attack,application_qos,extra_trees,4
numeric__mean_rtt_ms,0.18864614974260524,binary_attack,application_qos,extra_trees,5
numeric__p95_rtt_ms,0.14912086260559948,binary_attack,application_qos,extra_trees,5
numeric__std_rtt_ms,0.13136947204176974,binary_attack,application_qos,extra_trees,5
numeric__median_rtt_ms,0.13081378927077,binary_attack,application_qos,extra_trees,5
numeric__max_rtt_ms,0.1278422232423973,binary_attack,application_qos,extra_trees,5
numeric__app_rx_delta,0.055211688396831396,binary_attack,application_qos,extra_trees,5
numeric__app_tx_delta,0.05422918344083933,binary_attack,application_qos,extra_trees,5
numeric__root_server_tx_delta,0.040747735474524864,binary_attack,application_qos,extra_trees,5
numeric__root_server_rx_delta,0.0404236099079429,binary_attack,application_qos,extra_trees,5
numeric__uplink_success_count,0.025179248689951878,binary_attack,application_qos,extra_trees,5
numeric__transaction_count,0.025138257005435805,binary_attack,application_qos,extra_trees,5
numeric__transaction_success_count,0.025033723596571147,binary_attack,application_qos,extra_trees,5
