task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
attack_subtype,mac,extra_trees,pooled,,1001-1010,,1020,0.9950980392156863,0.9950980392156863,0.9950980286145371,0.9950980286145371,0.9951008803421022,0.9950980392156863,0.9926484899786701,,,0.9999336793540946
attack_subtype,all,extra_trees,pooled,,1001-1010,,1020,0.9941176470588236,0.9941176470588236,0.994117443510156,0.9941174435101561,0.9941629752676264,0.9941176470588236,0.9911993358885507,,,0.9998947520184545
attack_subtype,radio,extra_trees,pooled,,1001-1010,,1020,0.7245098039215686,0.7245098039215686,0.7244806074461466,0.7244806074461466,0.7245343326034969,0.7245098039215686,0.586806162799463,,,0.8646258650519031
attack_subtype,routing,extra_trees,pooled,,1001-1010,,1020,0.47843137254901963,0.4784313725490195,0.4560246512550839,0.4560246512550839,0.448140458653393,0.4784313725490195,0.22126781921553476,,,0.6870537773933103
attack_subtype,application_qos,extra_trees,pooled,,1001-1010,,1020,0.4362745098039216,0.4362745098039216,0.4348694065676823,0.43486940656768225,0.433732002480093,0.4362745098039216,0.15445474901257542,,,0.6245811707035754
binary_attack,mac,extra_trees,pooled,,1001-1010,,2380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,all,extra_trees,pooled,,1001-1010,,2380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,radio,extra_trees,pooled,,1001-1010,,2380,0.9411764705882353,0.9404411764705882,0.940009103060472,0.9412045999262536,0.9395994980774987,0.9404411764705882,0.8800402720538045,0.984697592272203,0.9755791005247353,
binary_attack,routing,extra_trees,pooled,,1001-1010,,2380,0.8411764705882353,0.8482843137254903,0.8403619909502262,0.8419909502262444,0.8411764705882353,0.8482843137254903,0.6894241449734942,0.9108452277970012,0.8510848756151952,
binary_attack,application_qos,extra_trees,pooled,,1001-1010,,2380,0.6436974789915967,0.6357843137254902,0.6359133627358164,0.6435185337903144,0.6360573700390634,0.6357843137254902,0.27184154662633375,0.7001409313725491,0.5775117458346363,
cause_family,all,extra_trees,pooled,,1001-1010,,2380,0.9966386554621849,0.9921568627450981,0.9947277516153697,0.9966227554782643,0.9973983665403997,0.9921568627450981,0.9945173647672805,,,0.9999884659746252
cause_family,mac,extra_trees,pooled,,1001-1010,,2380,0.9663865546218487,0.9444444444444445,0.9471908748938236,0.9662176920276665,0.9500833578503481,0.9444444444444445,0.9450193579289476,,,0.9875335207612457
cause_family,radio,extra_trees,pooled,,1001-1010,,2380,0.8819327731092437,0.8637254901960784,0.860269789523976,0.8821006803966147,0.8570815175362508,0.8637254901960784,0.8077552249123161,,,0.9693795655517109
cause_family,routing,extra_trees,pooled,,1001-1010,,2380,0.8441176470588235,0.695751633986928,0.6930535826201529,0.818736161379618,0.734092826924739,0.695751633986928,0.7449808938778605,,,0.9194272635524797
cause_family,application_qos,extra_trees,pooled,,1001-1010,,2380,0.6285714285714286,0.5058823529411764,0.4948866436822906,0.6021284761957858,0.5270599170099237,0.5058823529411764,0.37128469065708225,,,0.7440099961553249
seven_class,all,extra_trees,pooled,,1001-1010,,2380,0.9852941176470589,0.9852941176470589,0.9853242045516065,0.9853242045516066,0.9854280832379937,0.9852941176470589,0.9828554857804549,,,0.9994470876585927
seven_class,mac,extra_trees,pooled,,1001-1010,,2380,0.8579831932773109,0.8579831932773109,0.8578406549809959,0.8578406549809958,0.8580048331917484,0.8579831932773109,0.8343711257089621,,,0.9756877162629757
seven_class,radio,extra_trees,pooled,,1001-1010,,2380,0.6676470588235294,0.6676470588235295,0.6665801931626172,0.6665801931626171,0.6660124561527354,0.6676470588235295,0.6123352453333168,,,0.9287405256220135
seven_class,routing,extra_trees,pooled,,1001-1010,,2380,0.6411764705882353,0.6411764705882353,0.6291551780881713,0.6291551780881712,0.6247021352046757,0.6411764705882353,0.5832382145806583,,,0.9002819657274675
seven_class,application_qos,extra_trees,pooled,,1001-1010,,2380,0.2995798319327731,0.29957983193277304,0.29249729768780985,0.29249729768780985,0.2875238545418252,0.29957983193277304,0.18301283979793312,,,0.7166476149283243
