task,feature_set,model,true_class,predicted_class,count
binary_attack,all,logistic,attack,attack,1020
binary_attack,all,logistic,attack,benign,0
binary_attack,all,logistic,benign,attack,0
binary_attack,all,logistic,benign,benign,1360
binary_attack,all,random_forest,attack,attack,1019
binary_attack,all,random_forest,attack,benign,1
binary_attack,all,random_forest,benign,attack,1
binary_attack,all,random_forest,benign,benign,1359
binary_attack,all,extra_trees,attack,attack,1020
binary_attack,all,extra_trees,attack,benign,0
binary_attack,all,extra_trees,benign,attack,0
binary_attack,all,extra_trees,benign,benign,1360
cause_family,all,logistic,attack,attack,1020
cause_family,all,logistic,attack,impairment,0
cause_family,all,logistic,attack,normal,0
cause_family,all,logistic,impairment,attack,0
cause_family,all,logistic,impairment,impairment,1016
cause_family,all,logistic,impairment,normal,4
cause_family,all,logistic,normal,attack,0
cause_family,all,logistic,normal,impairment,2
cause_family,all,logistic,normal,normal,338
cause_family,all,random_forest,attack,attack,1020
cause_family,all,random_forest,attack,impairment,0
cause_family,all,random_forest,attack,normal,0
cause_family,all,random_forest,impairment,attack,0
cause_family,all,random_forest,impairment,impairment,1020
cause_family,all,random_forest,impairment,normal,0
cause_family,all,random_forest,normal,attack,5
cause_family,all,random_forest,normal,impairment,0
cause_family,all,random_forest,normal,normal,335
cause_family,all,extra_trees,attack,attack,1020
cause_family,all,extra_trees,attack,impairment,0
cause_family,all,extra_trees,attack,normal,0
cause_family,all,extra_trees,impairment,attack,0
cause_family,all,extra_trees,impairment,impairment,1020
cause_family,all,extra_trees,impairment,normal,0
cause_family,all,extra_trees,normal,attack,2
cause_family,all,extra_trees,normal,impairment,6
cause_family,all,extra_trees,normal,normal,332
seven_class,all,logistic,Clean,Clean,332
seven_class,all,logistic,Clean,DIO_Flood,0
seven_class,all,logistic,Clean,DIS_Flood,0
seven_class,all,logistic,Clean,RX60,0
seven_class,all,logistic,Clean,RX75,0
seven_class,all,logistic,Clean,RX90,8
seven_class,all,logistic,Clean,UDP_Flood,0
seven_class,all,logistic,DIO_Flood,Clean,0
seven_class,all,logistic,DIO_Flood,DIO_Flood,325
seven_class,all,logistic,DIO_Flood,DIS_Flood,15
seven_class,all,logistic,DIO_Flood,RX60,0
seven_class,all,logistic,DIO_Flood,RX75,0
seven_class,all,logistic,DIO_Flood,RX90,0
seven_class,all,logistic,DIO_Flood,UDP_Flood,0
seven_class,all,logistic,DIS_Flood,Clean,0
seven_class,all,logistic,DIS_Flood,DIO_Flood,1
seven_class,all,logistic,DIS_Flood,DIS_Flood,339
seven_class,all,logistic,DIS_Flood,RX60,0
seven_class,all,logistic,DIS_Flood,RX75,0
seven_class,all,logistic,DIS_Flood,RX90,0
seven_class,all,logistic,DIS_Flood,UDP_Flood,0
seven_class,all,logistic,RX60,Clean,0
seven_class,all,logistic,RX60,DIO_Flood,0
seven_class,all,logistic,RX60,DIS_Flood,0
seven_class,all,logistic,RX60,RX60,338
seven_class,all,logistic,RX60,RX75,2
seven_class,all,logistic,RX60,RX90,0
seven_class,all,logistic,RX60,UDP_Flood,0
seven_class,all,logistic,RX75,Clean,0
seven_class,all,logistic,RX75,DIO_Flood,0
seven_class,all,logistic,RX75,DIS_Flood,0
seven_class,all,logistic,RX75,RX60,4
seven_class,all,logistic,RX75,RX75,336
seven_class,all,logistic,RX75,RX90,0
seven_class,all,logistic,RX75,UDP_Flood,0
seven_class,all,logistic,RX90,Clean,3
seven_class,all,logistic,RX90,DIO_Flood,0
seven_class,all,logistic,RX90,DIS_Flood,0
seven_class,all,logistic,RX90,RX60,0
seven_class,all,logistic,RX90,RX75,11
seven_class,all,logistic,RX90,RX90,326
seven_class,all,logistic,RX90,UDP_Flood,0
seven_class,all,logistic,UDP_Flood,Clean,0
