feature,importance,task,feature_set,model,fold
numeric__client_mac_rx_delta,0.14303078276362008,binary_attack,all,random_forest,1
numeric__mean_rank,0.12594550326627993,binary_attack,all,random_forest,1
numeric__client_radio_tx_fraction,0.09668143930566914,binary_attack,all,random_forest,1
numeric__mean_etx_x100,0.09014901103478423,binary_attack,all,random_forest,1
numeric__client_energest_listen_delta,0.08431781209799712,binary_attack,all,random_forest,1
numeric__client_energest_tx_delta,0.07897169683244812,binary_attack,all,random_forest,1
numeric__root_mac_rx_delta,0.07168100446857659,binary_attack,all,random_forest,1
numeric__root_mean_etx_x100,0.05775810492287523,binary_attack,all,random_forest,1
numeric__client_mac_ack_ratio,0.05485723766562615,binary_attack,all,random_forest,1
numeric__p95_etx_x100,0.04140939439263878,binary_attack,all,random_forest,1
numeric__client_mac_tx_attempts_delta,0.026918294007318922,binary_attack,all,random_forest,1
numeric__client_mac_acked_delta,0.022344269680186116,binary_attack,all,random_forest,1
numeric__std_etx_x100,0.02232500220772926,binary_attack,all,random_forest,1
numeric__root_mac_tx_attempts_delta,0.017736040993634863,binary_attack,all,random_forest,1
numeric__mean_rssi,0.014805872953277881,binary_attack,all,random_forest,1
numeric__root_mac_ack_ratio,0.012966506705356963,binary_attack,all,random_forest,1
numeric__root_energest_tx_delta,0.01292581025086542,binary_attack,all,random_forest,1
numeric__root_radio_tx_fraction,0.008166777444400026,binary_attack,all,random_forest,1
numeric__mean_rtt_ms,0.004811863462166217,binary_attack,all,random_forest,1
numeric__median_rtt_ms,0.0025848605976517627,binary_attack,all,random_forest,1
numeric__p95_rtt_ms,0.001938698353046717,binary_attack,all,random_forest,1
numeric__max_rtt_ms,0.001681135702188537,binary_attack,all,random_forest,1
numeric__std_rtt_ms,0.0015251530047119986,binary_attack,all,random_forest,1
numeric__app_rx_delta,0.0008633054288667183,binary_attack,all,random_forest,1
numeric__transaction_count,0.0006272702208191092,binary_attack,all,random_forest,1
numeric__app_tx_delta,0.0005858033603435659,binary_attack,all,random_forest,1
numeric__transaction_success_count,0.0004576738600429176,binary_attack,all,random_forest,1
numeric__root_server_tx_delta,0.0004216842231451397,binary_attack,all,random_forest,1
numeric__root_server_rx_delta,0.000420879882327593,binary_attack,all,random_forest,1
numeric__root_mac_acked_delta,0.0003553744741158333,binary_attack,all,random_forest,1
numeric__uplink_success_count,0.0003537238689236518,binary_attack,all,random_forest,1
numeric__client_energest_total_delta,0.000266685009417764,binary_attack,all,random_forest,1
numeric__parent_changes_delta,5.285220251505735e-05,binary_attack,all,random_forest,1
numeric__client_mac_reset_nodes,2.237945344236792e-05,binary_attack,all,random_forest,1
numeric__app_timeouts_delta,1.7986588130922673e-05,binary_attack,all,random_forest,1
numeric__app_delivery_ratio,1.3204601332306209e-05,binary_attack,all,random_forest,1
numeric__client_mac_valid_nodes,8.904713526976927e-06,binary_attack,all,random_forest,1
numeric__uplink_delivery_ratio,1.642408965078638e-16,binary_attack,all,random_forest,1
numeric__queue_drops_delta,6.0188423337373e-17,binary_attack,all,random_forest,1
numeric__route_miss_delta,0.0,binary_attack,all,random_forest,1
numeric__reachable_fraction,0.0,binary_attack,all,random_forest,1
numeric__root_mean_rssi,0.0,binary_attack,all,random_forest,1
numeric__mean_neighbors,0.0,binary_attack,all,random_forest,1
numeric__client_mac_rx_delta,0.14064694266398023,binary_attack,all,random_forest,2
numeric__mean_rank,0.12742748778018345,binary_attack,all,random_forest,2
numeric__client_energest_listen_delta,0.09191889487014183,binary_attack,all,random_forest,2
numeric__mean_etx_x100,0.0907902159453936,binary_attack,all,random_forest,2
numeric__client_radio_tx_fraction,0.0866519738184602,binary_attack,all,random_forest,2
